k	numRecR	numNonRecR	numR	avgRating	posRatingRatio	negRatingRatio	maxRDay	avgRD	maxRD	extRatingRatio	avgL	stdL	avgPCW	maxPCW	avgPC	avgPC	avgOnePP	maxOnePP	avgRES	maxRES	avgPosScore	maxPosScore	avgNegScore	maxNegScore	avgSW	maxSW	avgOW	maxOW	fraction
Snack	196	14	210	4.00952380952	0.804761904762	0.0857142857143	2	0.594285714285	3.00952380952	0.309523809524	102.79047619	76.349471603	0.172981914593	0.375	0.0279085006454	0.0279085006454	0.0394380296477	0.093023255814	0.108369961941	1.0	0.0570454141706	0.333333333333	0.0291977822493	0.0833333333333	0.100986090357	0.5	0.899013909643	1.0	0.0666666666667
Dekalb Restaurant	50	9	59	4.16949152542	0.762711864407	0.101694915254	3	0.900890548692	3.16949152542	0.576271186441	141.491525424	105.453077827	0.148097681312	0.241379310345	0.0236819940209	0.0236819940209	0.031768754665	0.0833333333333	0.0887595455392	0.615384615385	0.0587953259922	0.155487804878	0.0270146767564	0.0892857142857	0.0931794635409	0.32	0.906820536459	1.0	0.152542372881
Le Parisien	510	37	547	4.03290676417	0.82084095064	0.0658135283364	4	0.57990234251	3.03290676417	0.321755027422	114.776965265	97.1674593419	0.164961804675	0.625	0.0267702301343	0.0267702301343	0.0390913324263	0.2	0.1266831593	1.0	0.0609121555784	0.5	0.0297593084288	0.1875	0.0990225028884	1.0	0.900977497112	1.0	0.0676416819013
Blue Spoon Coffee	83	3	86	4.37209302326	0.918604651163	0.046511627907	2	0.657111952407	3.37209302326	0.546511627907	87.5581395349	68.4756966989	0.172199187768	0.346153846154	0.0286042084744	0.0286042084744	0.0311109821147	0.111111111111	0.179831537971	1.0	0.0533923845945	0.163194444444	0.0279462318747	0.152777777778	0.100702526945	0.5	0.899297473055	1.0	0.0348837209302
Nai Tapas Bar	471	37	508	4.20078740157	0.82874015748	0.0551181102362	3	0.707963915927	3.20078740157	0.458661417323	137.681102362	128.365468799	0.16861496721	1.0	0.026945178973	0.026945178973	0.0400281548423	0.142857142857	0.179503288907	1.0	0.0589232254522	0.375	0.0263220971173	0.15	0.101504199712	0.5	0.896527296351	1.0	0.0728346456693
Nook	626	51	677	3.75184638109	0.691285081241	0.135893648449	4	0.889618592758	2.75184638109	0.350073855244	138.276218612	104.991209783	0.165234611454	0.5	0.0295402408093	0.0295402408093	0.0399574531671	0.166666666667	0.127663882032	1.0	0.0533916643522	0.151315789474	0.0283546507545	0.0865384615385	0.086226904078	0.333333333333	0.912295991048	1.0	0.0753323485968
Pio Pio Riko	148	14	162	3.87654320988	0.716049382716	0.123456790123	3	0.855814662398	2.87654320988	0.395061728395	120.228395062	121.690371851	0.170804899464	0.857142857143	0.0288002206438	0.0288002206438	0.0400395653744	0.130718954248	0.125432890195	1.0	0.0587081357236	0.5	0.031370672353	0.114130434783	0.104562417361	0.75	0.889264743132	1.0	0.0864197530864
King of Falafel & Shawarma	439	59	498	4.47389558233	0.887550200803	0.0522088353414	4	0.686682472864	3.47389558233	0.666666666667	109.696787149	101.542097773	0.176222913786	0.8125	0.0315527741253	0.0315527741253	0.0382095086441	0.3	0.180246728623	1.0	0.0552787125922	0.291666666667	0.0251298301552	0.25	0.10028709384	1.0	0.89971290616	1.0	0.118473895582
Alameda	46	6	52	4.0	0.75	0.0769230769231	2	0.769230769231	3.0	0.442307692308	151.846153846	116.346859502	0.167896391957	0.423076923077	0.0249655714764	0.0249655714764	0.0334212152255	0.0810810810811	0.113748519999	1.0	0.0712172495333	0.333333333333	0.0299996333403	0.05625	0.124281059019	0.6	0.875718940981	1.0	0.115384615385
Bouley	731	182	913	4.31325301205	0.820372398686	0.0941949616648	4	0.857493500838	3.31325301205	0.661555312158	202.289156627	202.012784297	0.161435430172	0.5	0.025221051372	0.025221051372	0.0442293053914	0.147727272727	0.112243627179	1.0	0.0550987780508	0.25	0.0282902143981	0.118055555556	0.0909039926016	0.5	0.909096007398	1.0	0.199342825849
Casa Adela	163	15	178	4.02247191011	0.775280898876	0.112359550562	2	0.801792702941	3.02247191011	0.460674157303	124.584269663	104.609741204	0.167183007001	0.48	0.0303416304929	0.0303416304929	0.0391873064781	0.117647058824	0.150570634753	1.0	0.05156130065	0.175	0.026895697775	0.0678571428571	0.0973062542442	0.333333333333	0.902693745756	1.0	0.0842696629213
Cheryl’s Global Soul	379	32	411	3.83454987835	0.725060827251	0.153284671533	4	0.867660030428	2.83454987835	0.36496350365	143.03163017	118.06217782	0.165405488488	0.4	0.0277823200651	0.0277823200651	0.0453541938831	0.13698630137	0.134632252462	1.0	0.0523272363673	0.163043478261	0.0273632280073	0.25	0.088223092994	0.285714285714	0.911776907006	1.0	0.0778588807786
Root & Bone	207	11	218	3.90825688073	0.733944954128	0.100917431193	6	0.822742193419	2.90825688073	0.412844036697	208.743119266	163.236919263	0.162002543397	0.386075949367	0.0262858072189	0.0262858072189	0.0410183572801	0.117647058824	0.114597159117	0.666666666667	0.0526384997538	0.21875	0.0301622293665	0.107142857143	0.0918594079732	0.428571428571	0.908140592027	1.0	0.0504587155963
Comme Ci Comme Ça	95	11	106	4.1320754717	0.820754716981	0.0566037735849	3	0.655037379851	3.1320754717	0.38679245283	136.452830189	120.613458062	0.167646508487	0.5	0.0322562002891	0.0322562002891	0.038335969837	0.102040816327	0.15600555849	1.0	0.054920846933	0.270833333333	0.0249362440373	0.0865384615385	0.0964341816042	1.0	0.903565818396	1.0	0.103773584906
Two Hands	77	5	82	3.93902439024	0.743902439024	0.158536585366	4	0.895597858419	2.93902439024	0.451219512195	116.268292683	98.3277308453	0.153418414265	0.26	0.025190472999	0.025190472999	0.0305836592696	0.101910828025	0.158736153652	1.0	0.0612422943266	0.190789473684	0.0255191170833	0.0643939393939	0.101385360847	0.25	0.898614639153	0.980392156863	0.0609756097561
Maialino	792	100	892	3.9730941704	0.736547085202	0.104260089686	4	0.792998049429	2.9730941704	0.412556053812	167.211883408	143.192190121	0.161815936566	1.0	0.0261592575889	0.0261592575889	0.0409399023555	0.142857142857	0.102746647167	1.0	0.0555018369042	0.3125	0.0287339804541	0.100157894737	0.0972461561854	1.0	0.901632767581	1.0	0.112107623318
Da Marcella	128	10	138	4.13768115942	0.840579710145	0.101449275362	3	0.799831968074	3.13768115942	0.528985507246	125.81884058	135.06837965	0.169683933321	0.357142857143	0.0289829580079	0.0289829580079	0.0363506598615	0.111111111111	0.117533551572	1.0	0.06766195585	0.25	0.0277293408552	0.078125	0.114003968828	1.0	0.885996031172	1.0	0.0724637681159
Via Quadronno	289	23	312	3.91987179487	0.775641025641	0.112179487179	3	0.784557856674	2.91987179487	0.403846153846	105.849358974	99.6001930778	0.173111090217	0.5	0.03092799867	0.03092799867	0.0381011276591	0.171428571429	0.135013373902	1.0	0.0571132993004	0.25	0.0298868604039	0.25	0.0976069831879	0.4	0.895982760402	1.0	0.0737179487179
Gila’s Nosh	75	12	87	4.25287356322	0.827586206897	0.114942528736	3	0.893116660061	3.25287356322	0.655172413793	101.011494253	83.17679471	0.170245869355	0.538461538462	0.0304123754489	0.0304123754489	0.0354399595329	0.1	0.219259129143	1.0	0.0631807171986	0.154411764706	0.0287495921311	0.0714285714286	0.11301438353	0.363636363636	0.88698561647	1.0	0.137931034483
Palo Santo	268	55	323	4.03715170279	0.770897832817	0.120743034056	3	0.858514890396	3.03715170279	0.504643962848	161.003095975	141.073010947	0.160999775889	0.666666666667	0.0257806513748	0.0257806513748	0.0436019448782	0.166666666667	0.122070877753	1.0	0.0551076945205	0.166666666667	0.0270747240344	0.164772727273	0.0945811011363	0.4	0.902322923631	1.0	0.170278637771
Kinjo	52	7	59	4.32203389831	0.830508474576	0.118644067797	4	0.873312266591	3.32203389831	0.677966101695	108.627118644	103.264002343	0.170161718048	0.333333333333	0.0282709446907	0.0282709446907	0.0388838977292	0.0963855421687	0.19667023184	1.0	0.0600088043979	0.291666666667	0.0269217577112	0.0722222222222	0.110159081769	0.5	0.889840918231	1.0	0.118644067797
