k	numRecR	numNonRecR	numR	avgRating	posRatingRatio	negRatingRatio	maxRDay	avgRD	maxRD	extRatingRatio	avgL	stdL	avgPCW	maxPCW	avgPC	avgPC	avgOnePP	maxOnePP	avgRES	maxRES	avgPosScore	maxPosScore	avgNegScore	maxNegScore	avgSW	maxSW	avgOW	maxOW	fraction
mccormick-and-schmicks-pittsburgh-2	103	19	122	2.79508196721	0.327868852459	0.459016393443	2	1.20532115023	2.20491803279	0.401639344262	156.327868852	129.791916861	0.15643029554	0.333333333333	0.0251547489816	0.0251547489816	0.0472244411921	0.119047619048	0.0827458879814	1.0	0.0519818703463	0.158333333333	0.0303771237871	0.078431372549	0.0919216156439	0.333333333333	0.908078384356	1.0	0.155737704918
sake-asian-cuisine-and-sushi-bar-pittsburgh-2	55	20	75	3.18666666667	0.48	0.373333333333	2	1.47413333333	2.18666666667	0.613333333333	148.346666667	131.171591775	0.144202039414	0.275862068966	0.0259913965631	0.0259913965631	0.0489215431355	0.127167630058	0.120690424082	0.666666666667	0.0522030589508	0.120967741935	0.032458538091	0.0721153846154	0.103078671087	0.266666666667	0.896921328913	1.0	0.266666666667
the-pitt-stop-pittsburgh	16	9	25	3.08	0.4	0.4	2	1.296	2.08	0.48	121.68	70.3174060955	0.152827782446	0.219178082192	0.0305962350547	0.0305962350547	0.0512958154962	0.101265822785	0.0765873015873	0.5	0.0457982151826	0.102739726027	0.0282228378835	0.0609756097561	0.0699050971432	0.179487179487	0.930094902857	0.985294117647	0.36
central-diner-and-grille-pittsburgh	307	38	345	4.2231884058	0.811594202899	0.104347826087	3	0.891644612477	3.2231884058	0.631884057971	115.950724638	121.352070885	0.15576052712	0.428571428571	0.0288336520726	0.0288336520726	0.0419329977331	0.147058823529	0.179070503233	1.0	0.0605483771141	0.193181818182	0.0271053824072	0.0892857142857	0.090344725819	0.333333333333	0.909655274181	1.0	0.110144927536
alfreds-deli-and-market-pittsburgh	13	3	16	4.5	0.9375	0.0625	1	0.6875	3.5	0.75	135.9375	120.601341592	0.151577139754	0.211382113821	0.0277521847374	0.0277521847374	0.0337947928839	0.0833333333333	0.247224544779	0.75	0.050790300659	0.0948275862069	0.0270958838041	0.05859375	0.0830788442879	0.193548387097	0.916921155712	1.0	0.1875
51-wings-and-things-pittsburgh	35	15	50	4.3	0.84	0.1	3	0.84	3.3	0.64	84.68	73.9479384432	0.170538475785	0.272727272727	0.0267118164949	0.0267118164949	0.0412292844704	0.115384615385	0.268816849817	1.0	0.0609407177128	0.163461538462	0.0282638919202	0.0817307692308	0.100172726515	0.266666666667	0.899827273485	1.0	0.3
bangal-kabab-house-and-restaurant-pittsburgh	106	7	113	4.25663716814	0.805309734513	0.115044247788	3	0.947294228208	3.25663716814	0.70796460177	119.044247788	104.660715165	0.158853951788	0.333333333333	0.0304076260757	0.0304076260757	0.0415277523718	0.107692307692	0.130597007438	1.0	0.0644356399796	0.196428571429	0.0308207408045	0.0756578947368	0.110577175871	0.323529411765	0.889422824129	1.0	0.0619469026549
teutonia-mannerchor-pittsburgh	8	1	9	4.33333333333	0.888888888889	0.0	1	0.592592592592	1.33333333333	0.444444444444	110.333333333	71.5075753563	0.154739791417	0.233333333333	0.0290287083592	0.0290287083592	0.0326738737817	0.075	0.124074074074	0.333333333333	0.0556117105275	0.0791666666667	0.0230254381515	0.0456349206349	0.0788101497628	0.169014084507	0.921189850237	0.983606557377	0.111111111111
stone-neapolitan-pizzeria-pittsburgh	123	21	144	4.18055555556	0.819444444444	0.0763888888889	2	0.773919753087	3.18055555556	0.506944444444	100.840277778	97.0252446527	0.159025040869	0.34375	0.0265494555177	0.0265494555177	0.0332056346984	0.114285714286	0.16038893591	1.0	0.0564735078343	0.375	0.0285261026972	0.15	0.100369146962	1.0	0.899630853038	1.0	0.145833333333
cobblerworld-pittsburgh-4	1	0	1	5.0	1.0	0.0	1	0.0	0.0	1.0	354.0	0.0	0.223163841808	0.223163841808	0.025974025974	0.025974025974	0.0480225988701	0.0480225988701	0.133333333333	0.133333333333	0.0508474576271	0.0508474576271	0.0204802259887	0.0204802259887	0.0869565217391	0.0869565217391	0.913043478261	0.913043478261	0.0
the-map-room-grill-and-bar-pittsburgh	33	8	41	3.43902439024	0.560975609756	0.243902439024	1	1.11719214753	2.43902439024	0.365853658537	130.365853659	106.847225353	0.145097520405	0.26	0.0253137295554	0.0253137295554	0.0392354836593	0.107142857143	0.120557491289	0.5	0.0543145838448	0.135416666667	0.030380912962	0.07	0.100561162907	0.333333333333	0.899438837093	0.972222222222	0.19512195122
breakfast-at-shellys-pittsburgh	5	1	6	4.0	0.833333333333	0.0	1	0.333333333333	1.0	0.166666666667	103.0	49.1697739131	0.108694838934	0.146341463415	0.0201262904667	0.0201262904667	0.0289350261069	0.0606060606061	0.0416666666667	0.25	0.0437791543568	0.0666666666667	0.0346141579032	0.0587121212121	0.0825441919192	0.125	0.917455808081	1.0	0.166666666667
revel-roost-pittsburgh-6	82	23	105	3.62857142857	0.619047619048	0.27619047619	4	1.27891156463	2.62857142857	0.533333333333	154.504761905	130.995537824	0.15079744071	0.375	0.0265026868008	0.0265026868008	0.0392628371659	0.106666666667	0.110161622	1.0	0.0540859768237	0.122685185185	0.031539033423	0.0885416666667	0.0895483909138	0.285714285714	0.910451609086	1.0	0.219047619048
the-abbey-on-butler-pittsburgh	76	14	90	3.33333333333	0.533333333333	0.288888888889	3	1.15555555556	2.33333333333	0.355555555556	173.666666667	155.137644977	0.145846900329	0.366666666667	0.0222869671671	0.0222869671671	0.0412747658999	0.136690647482	0.125077011458	1.0	0.0523459092436	0.141666666667	0.0274599149099	0.0735294117647	0.083215817092	0.216216216216	0.916784182908	1.0	0.155555555556
o-learys-pittsburgh	35	3	38	4.10526315789	0.789473684211	0.0789473684211	1	0.753462603877	3.10526315789	0.447368421053	116.605263158	100.101932121	0.159620904006	0.296296296296	0.0268275835823	0.0268275835823	0.0415715693732	0.0961538461538	0.150700615174	1.0	0.0499933900808	0.0985576923077	0.0218197536401	0.0758928571429	0.0781356887341	0.190476190476	0.921864311266	1.0	0.0789473684211
p-and-gs-pamelas-diner-pittsburgh-3	338	29	367	4.22343324251	0.828337874659	0.0517711171662	3	0.719435143182	3.22343324251	0.479564032698	113.869209809	100.531065624	0.16546551661	0.548387096774	0.0306998974219	0.0306998974219	0.0413053598406	0.15	0.191662098438	1.0	0.0538549276524	0.1875	0.0247009367747	0.15625	0.0868121452084	0.5	0.913187854792	1.0	0.0790190735695
p-and-gs-pamelas-diner-pittsburgh-2	159	14	173	3.64161849711	0.618497109827	0.161849710983	3	0.951986367737	2.64161849711	0.323699421965	98.2427745665	76.2069665723	0.161019960484	0.384615384615	0.0278145321144	0.0278145321144	0.0395592599165	0.142857142857	0.138998500801	1.0	0.0550889946494	0.1875	0.0270134529323	0.0964285714286	0.0889099573801	0.333333333333	0.91109004262	1.0	0.0809248554913
gaby-et-jules-pittsburgh	154	15	169	3.99408284024	0.710059171598	0.112426035503	4	0.860474073036	2.99408284024	0.455621301775	125.00591716	96.3701872092	0.168861945472	0.391304347826	0.0277758790609	0.0277758790609	0.0441943268487	0.134328358209	0.15910994262	1.0	0.0630971386488	0.875	0.0315447186084	0.125	0.110649438399	0.5	0.889350561602	1.0	0.0887573964497
bistro-19-mount-lebanon	119	19	138	4.22463768116	0.833333333333	0.0579710144928	2	0.730413778618	3.22463768116	0.492753623188	151.420289855	138.512690341	0.158535982977	0.344827586207	0.0261674157698	0.0261674157698	0.0467217842551	0.142857142857	0.123425574044	1.0	0.0646013957257	0.184782608696	0.027933617005	0.0921052631579	0.102673922378	0.333333333333	0.897326077622	1.0	0.13768115942
umbrella-cafe-pittsburgh	54	8	62	4.59677419355	0.887096774194	0.0322580645161	2	0.624349635796	3.59677419355	0.806451612903	98.5967741935	83.3539788855	0.163674616662	0.333333333333	0.0288220695758	0.0288220695758	0.0401594581971	0.133333333333	0.270897053084	1.0	0.0633816888457	0.159722222222	0.0297802839205	0.0763888888889	0.10579958084	0.333333333333	0.89420041916	1.0	0.129032258065
altius-pittsburgh	273	48	321	4.32398753894	0.82554517134	0.0934579439252	4	0.884502285498	3.32398753894	0.716510903427	162.881619938	154.630234271	0.157285524195	0.5	0.0254699670342	0.0254699670342	0.0438564380046	0.153846153846	0.1619077392	1.0	0.0595341887787	0.170454545455	0.0255820341577	0.09375	0.0937051373237	0.333333333333	0.906294862676	1.0	0.14953271028
h-j-heinz-pittsburgh	2	0	2	4.0	1.0	0.0	1	0.0	0.0	0.0	49.0	0.0	0.234693877551	0.265306122449	0.0328373861178	0.0328373861178	0.0102040816327	0.0204081632653	0.0	0.0	0.0535714285715	0.0586734693878	0.0242346938775	0.0331632653061	0.102564102564	0.166666666667	0.897435897436	0.961538461538	0.0
kiku-japanese-restaurant-pittsburgh	82	8	90	3.81111111111	0.688888888889	0.177777777778	2	0.993580246914	2.81111111111	0.433333333333	156.766666667	158.820936907	0.152144172949	0.272727272727	0.0253561056685	0.0253561056685	0.0373349695164	0.0846774193548	0.092444384594	1.0	0.0595698020624	0.200892857143	0.033464308767	0.125	0.10970227088	0.315789473684	0.89029772912	1.0	0.0888888888889
tamarind-pittsburgh-2	182	32	214	3.8738317757	0.742990654206	0.121495327103	3	0.879072408071	2.8738317757	0.439252336449	110.0	110.365366029	0.163488905887	0.5	0.0323495245062	0.0323495245062	0.0404590706937	0.116666666667	0.132783018933	1.0	0.0647207561862	0.375	0.0279256592484	0.100609756098	0.106541388808	1.0	0.893458611192	1.0	0.14953271028
fat-heads-saloon-pittsburgh	572	83	655	4.06564885496	0.78320610687	0.0793893129771	4	0.741774954839	3.06564885496	0.432061068702	117.158778626	108.040884875	0.159765421916	0.5	0.0308348278139	0.0308348278139	0.0382420016124	0.15	0.178439904596	1.0	0.0543482275739	0.291666666667	0.0263177233064	0.0927419354839	0.0808043851825	0.333333333333	0.91766889726	1.0	0.126717557252
el-burro-pittsburgh	121	10	131	3.87022900763	0.725190839695	0.152671755725	2	0.905774721753	2.87022900763	0.419847328244	127.786259542	104.396704317	0.156234645965	0.275362318841	0.0295159121183	0.0295159121183	0.0429723765714	0.116666666667	0.133857354501	1.0	0.0542019439214	0.150862068966	0.0290858055376	0.15625	0.0968462060734	0.4	0.903153793927	1.0	0.0763358778626
andys-sushi-bar-pittsburgh	49	8	57	4.17543859649	0.824561403509	0.122807017544	2	0.896891351185	3.17543859649	0.614035087719	115.771929825	117.139895004	0.14912247566	0.295774647887	0.0279161180973	0.0279161180973	0.0392617412991	0.142857142857	0.152758985654	1.0	0.0564745903145	0.125	0.0314361214153	0.0833333333333	0.101872935227	0.25	0.898127064773	1.0	0.140350877193
angelos-pizzeria-pittsburgh	55	13	68	3.67647058824	0.632352941176	0.235294117647	2	1.29152249135	2.67647058824	0.602941176471	117.926470588	122.631000324	0.169835037791	0.293906810036	0.0345298503399	0.0345298503399	0.045839660089	0.136363636364	0.21896232132	1.0	0.0483024114658	0.128289473684	0.0282727724314	0.0648148148148	0.0899666681739	0.352941176471	0.910033331826	1.0	0.191176470588
sarafinos-pasta-and-pizza-pittsburgh-2	59	10	69	4.10144927536	0.782608695652	0.0869565217391	1	0.755303507666	3.10144927536	0.434782608696	140.724637681	151.101068399	0.153796658215	0.454545454545	0.0332294318527	0.0332294318527	0.0378508710369	0.112244897959	0.183554636339	0.777777777778	0.0545163817732	0.118055555556	0.0284083744773	0.125	0.0862916343929	0.238095238095	0.913708365607	1.0	0.144927536232
lombardozzis-restaurant-pittsburgh	27	6	33	3.36363636364	0.575757575758	0.242424242424	1	1.15702479339	2.36363636364	0.393939393939	148.909090909	119.082951388	0.151744017823	0.242424242424	0.0253012638976	0.0253012638976	0.0479821528743	0.0921052631579	0.07713886538	0.5	0.0472037575211	0.0761494252874	0.0300367305364	0.0530303030303	0.0811362109823	0.162162162162	0.918863789018	1.0	0.181818181818
sesame-garden-pittsburgh-2	36	3	39	4.30769230769	0.820512820513	0.128205128205	2	0.923076923077	3.30769230769	0.717948717949	110.512820513	79.9287733547	0.142793143382	0.208955223881	0.0340282714804	0.0340282714804	0.0453983827663	0.0952380952381	0.136794686795	0.666666666667	0.0578663017497	0.107142857143	0.0296294715713	0.0678571428571	0.0963476582292	0.178571428571	0.903652341771	0.969230769231	0.0769230769231
stackd-burgers-and-beer-pittsburgh	121	20	141	3.75177304965	0.68085106383	0.156028368794	2	0.877018258638	2.75177304965	0.312056737589	150.446808511	144.842415006	0.159480078694	0.576923076923	0.0280403153917	0.0280403153917	0.0379615572815	0.1	0.134591405211	1.0	0.0585073279812	0.375	0.0275056584766	0.0825892857143	0.102843220879	0.5	0.897156779121	1.0	0.141843971631
nikos-coffee-pittsburgh-2	3	0	3	4.66666666667	1.0	0.0	1	0.444444444444	0.666666666667	0.666666666667	48.3333333333	19.9053315024	0.164147548358	0.233333333333	0.0224921399244	0.0224921399244	0.0635852451642	0.1	0.111111111111	0.333333333333	0.0552884615385	0.0833333333333	0.0236785874944	0.0328947368421	0.092261904762	0.114285714286	0.907738095238	0.9375	0.0
coachs-bottleshop-and-grille-pittsburgh	30	20	50	3.52	0.58	0.24	2	1.2768	2.52	0.54	100.62	80.6696696411	0.174037861155	0.6	0.0310684628321	0.0310684628321	0.0350399452774	0.0833333333333	0.172906701142	1.0	0.0519776207564	0.100694444444	0.0277569022711	0.0844594594595	0.0878508496658	0.222222222222	0.912149150334	1.0	0.4
pleasure-bar-and-restaurant-pittsburgh	65	15	80	2.875	0.3375	0.4	2	1.075	2.125	0.3125	154.1	147.429101605	0.157595214021	0.444444444444	0.0274129518798	0.0274129518798	0.0509790010727	0.101123595506	0.0665451114113	1.0	0.0511123131886	0.138020833333	0.0291409382753	0.08203125	0.0850262953397	0.25	0.91497370466	1.0	0.1875
no-1-sushi-sushi-pittsburgh	66	6	72	4.23611111111	0.833333333333	0.0972222222222	2	0.806327160494	3.23611111111	0.555555555556	99.1666666667	81.278841035	0.159537578797	0.5	0.0239271530496	0.0239271530496	0.0362686057009	0.142857142857	0.179179479516	1.0	0.0643119261623	0.1796875	0.0329625642594	0.0842391304348	0.110897297271	0.307692307692	0.889102702729	1.0	0.0833333333333
the-twisted-frenchman-pittsburgh	79	14	93	4.68817204301	0.94623655914	0.0322580645161	2	0.496242340155	3.68817204301	0.817204301075	199.817204301	176.749257195	0.146576451524	0.266666666667	0.0241007405641	0.0241007405641	0.043839329834	0.117647058824	0.10930210073	1.0	0.0587300628121	0.21875	0.0257928585459	0.0875	0.0912389354721	0.4	0.908761064528	1.0	0.150537634409
fazios-pizza-pittsburgh	40	7	47	3.85106382979	0.68085106383	0.170212765957	1	1.05387052965	2.85106382979	0.510638297872	74.5531914894	48.4103947474	0.170852626746	0.333333333333	0.0270248461482	0.0270248461482	0.0435943056286	0.133333333333	0.113356973995	0.6	0.0600024577243	0.25	0.0333800240844	0.171875	0.117676504345	0.5	0.882323495655	0.984126984127	0.148936170213
archies-pittsburgh	41	3	44	3.59090909091	0.590909090909	0.159090909091	2	1.02892561983	2.59090909091	0.386363636364	122.568181818	98.0501721586	0.166647786949	0.271428571429	0.0330114862639	0.0330114862639	0.0365128255242	0.0947368421053	0.148772387743	1.0	0.0440704751281	0.0866935483871	0.0276411689843	0.0592105263158	0.0811390302257	0.15	0.918860969774	1.0	0.0681818181818
industry-public-house-pittsburgh-3	393	64	457	3.31509846827	0.516411378556	0.249452954048	3	1.05311492993	2.31509846827	0.297592997812	156.282275711	144.005763519	0.151614468138	0.455	0.0259503110862	0.0259503110862	0.0413384441138	0.129032258065	0.108236630535	1.0	0.0523871662847	0.208333333333	0.0291267034574	0.25	0.0885224587353	1.0	0.911477541265	1.0	0.140043763676
pizza-parma-pittsburgh-2	39	26	65	3.41538461538	0.538461538462	0.261538461538	2	1.27573964497	2.41538461538	0.507692307692	104.230769231	94.0513393731	0.166814212142	0.321428571429	0.0249181451738	0.0249181451738	0.0538262864338	0.139240506329	0.186308397485	1.0	0.0514950990233	0.122159090909	0.0285216841362	0.0636363636364	0.0819354355924	0.2	0.918064564408	1.0	0.4
red-hot-pittsburgh-pittsburgh	2	2	4	5.0	1.0	0.0	1	0.0	0.0	1.0	48.0	24.627220712	0.192469336219	0.25	0.0349354366059	0.0349354366059	0.0463203463204	0.0833333333333	0.154761904762	0.333333333333	0.0435989357864	0.0665584415584	0.0279356060606	0.03125	0.0714769273281	0.136363636364	0.928523072672	1.0	0.5
pizzaiolo-primo-pittsburgh	158	33	191	3.59685863874	0.586387434555	0.251308900524	3	1.184835942	2.59685863874	0.450261780105	147.984293194	140.524726316	0.15967391764	0.5	0.0278260677184	0.0278260677184	0.0477120090123	0.142857142857	0.140970337339	1.0	0.0568091455869	0.375	0.0315721615484	0.125	0.0966421403212	0.333333333333	0.903357859679	1.0	0.17277486911
park-place-pub-pittsburgh	31	3	34	3.02941176471	0.441176470588	0.352941176471	2	1.03287197232	2.02941176471	0.235294117647	157.176470588	157.397673686	0.145745842631	0.3	0.0251408015447	0.0251408015447	0.0349168033574	0.1	0.0786757312276	0.5	0.055425884586	0.157051282051	0.0264177142877	0.0581395348837	0.100904974609	0.333333333333	0.899095025391	1.0	0.0882352941176
shiloh-grill-pittsburgh-2	218	28	246	3.84146341463	0.719512195122	0.142276422764	3	0.959845330162	2.84146341463	0.467479674797	130.56504065	117.263868585	0.156413584503	0.526315789474	0.0284202162054	0.0284202162054	0.043887408913	0.116279069767	0.168131309975	1.0	0.0571370379882	0.158333333333	0.0270336252091	0.2	0.0908460449317	0.333333333333	0.909153955068	1.0	0.113821138211
andrews-steak-and-seafood-pittsburgh	36	12	48	3.54166666667	0.583333333333	0.229166666667	2	1.11805555556	2.54166666667	0.395833333333	188.979166667	201.608375486	0.152708099891	0.4375	0.0262745448174	0.0262745448174	0.0485737557092	0.162790697674	0.153094218971	1.0	0.0550471959191	0.144736842105	0.0245049713001	0.0526315789474	0.0818731949002	0.2	0.9181268051	1.0	0.25
las-palmas-pittsburgh	142	26	168	4.57142857143	0.928571428571	0.0416666666667	2	0.607142857143	3.57142857143	0.732142857143	104.464285714	89.7615818802	0.174508410779	0.379310344828	0.031591451356	0.031591451356	0.0350664027406	0.333333333333	0.192911183203	1.0	0.05348534418	0.175	0.0252993964074	0.0803571428571	0.100178842858	0.4	0.899821157142	1.0	0.154761904762
angelinas-pizzeria-pittsburgh-6	29	8	37	3.2972972973	0.567567567568	0.351351351351	2	1.39225712199	2.2972972973	0.513513513514	121.324324324	108.943589185	0.152518968523	0.285714285714	0.0304189455895	0.0304189455895	0.0405982346319	0.0958904109589	0.184127284127	1.0	0.0481352957955	0.11875	0.0335522703538	0.08125	0.0932693699693	0.230769230769	0.906730630031	1.0	0.216216216216
habitat-restaurant-pittsburgh	132	21	153	3.58823529412	0.575163398693	0.183006535948	2	0.970396001538	2.58823529412	0.300653594771	197.241830065	176.842495785	0.15353183443	0.308333333333	0.022766879045	0.022766879045	0.0455771885708	0.144578313253	0.108115968236	1.0	0.0574217904422	0.21875	0.0300941876927	0.0767857142857	0.089395476165	0.333333333333	0.910604523835	1.0	0.137254901961
kelly-os-diner-pittsburgh-2	105	16	121	3.47107438017	0.578512396694	0.206611570248	2	1.09131889898	2.47107438017	0.380165289256	138.280991736	146.12296549	0.159385257504	0.458333333333	0.028525661415	0.028525661415	0.040628139407	0.111111111111	0.181054283223	1.0	0.0523393784559	0.138157894737	0.0294381915719	0.0706896551724	0.0840446847927	0.260869565217	0.915955315207	1.0	0.132231404959
the-big-idea-bookstore-and-cafe-pittsburgh	14	3	17	4.29411764706	0.823529411765	0.117647058824	2	0.913494809689	3.29411764706	0.705882352941	134.411764706	101.71243132	0.157942201239	0.263157894737	0.0211510423318	0.0211510423318	0.0294795042686	0.0851648351648	0.153594771242	1.0	0.0428322587231	0.0789473684211	0.0262516879106	0.0460526315789	0.0757370992545	0.181818181818	0.924262900745	0.978021978022	0.176470588235
pipers-pub-pittsburgh	285	39	324	4.31790123457	0.87037037037	0.0524691358025	3	0.71999314129	3.31790123457	0.555555555556	132.731481481	116.072742716	0.15072814285	0.352941176471	0.0309873823964	0.0309873823964	0.0407181989517	0.117647058824	0.175005761896	1.0	0.0559908212744	0.25	0.0250815381112	0.125	0.0888446465191	0.5	0.911155353481	1.0	0.12037037037
poros-pittsburgh	87	13	100	3.42	0.52	0.23	3	1.0432	2.42	0.31	146.68	122.723826537	0.143017285558	0.333333333333	0.0237199847457	0.0237199847457	0.0448653900865	0.109375	0.109206731892	1.0	0.0617802927464	0.181818181818	0.0330700046046	0.0758928571429	0.0989757651057	0.268656716418	0.901024234894	1.0	0.13
pear-and-the-pickle-cafe-and-market-pittsburgh-4	17	2	19	4.63157894737	0.894736842105	0.105263157895	3	0.659279778394	3.63157894737	0.947368421053	81.0526315789	45.8297463551	0.160145052881	0.326086956522	0.0244767638593	0.0244767638593	0.0299917567103	0.111111111111	0.197604150236	1.0	0.0600547347605	0.118055555556	0.0314437591832	0.0676229508197	0.111900785318	0.310344827586	0.888099214682	0.967741935484	0.105263157895
pizza-fiesta-pittsburgh-2	36	17	53	2.94339622642	0.471698113208	0.415094339623	3	1.46244215023	2.05660377358	0.566037735849	95.0566037736	86.5913009475	0.153312999592	0.459459459459	0.0335491458395	0.0335491458395	0.0500638927771	0.133333333333	0.177631067195	1.0	0.0548534647977	0.25	0.027561542808	0.0826271186441	0.096344790231	0.5	0.903655209769	1.0	0.320754716981
peppis-pittsburgh	27	9	36	4.11111111111	0.75	0.111111111111	1	0.938271604938	3.11111111111	0.583333333333	83.3611111111	85.7972910663	0.179080673259	0.538461538462	0.035245652843	0.035245652843	0.029948262204	0.0961538461538	0.174138294609	1.0	0.0599217892578	0.145833333333	0.0249722711328	0.0641891891892	0.110681082818	0.5	0.889318917182	1.0	0.25
yuva-india-kitchen-bar-pittsburgh	85	48	133	3.18045112782	0.503759398496	0.353383458647	2	1.3971394652	2.18045112782	0.541353383459	152.488721805	129.682180418	0.151815256437	0.413043478261	0.0276902716151	0.0276902716151	0.0425235452136	0.0900321543408	0.111680337548	1.0	0.0545479602322	0.154411764706	0.0334209322956	0.0757575757576	0.100463081628	0.304347826087	0.899536918372	1.0	0.360902255639
thai-gourmet-pittsburgh-2	128	16	144	4.24305555556	0.819444444444	0.0486111111111	2	0.777970679013	3.24305555556	0.555555555556	114.375	90.9450288025	0.167821019049	0.4	0.0312739819677	0.0312739819677	0.044752632341	0.12	0.122733628947	1.0	0.0584151357393	0.275	0.0292753035829	0.0875	0.0985045370154	0.375	0.901495462985	1.0	0.111111111111
cains-saloon-pittsburgh	114	33	147	3.25850340136	0.52380952381	0.319727891156	3	1.28020732102	2.25850340136	0.448979591837	137.244897959	139.3176565	0.148304700401	0.291666666667	0.0281369099137	0.0281369099137	0.0438352637374	0.142857142857	0.144467069162	1.0	0.0556047083727	0.152777777778	0.0305411641123	0.234375	0.0924373832747	0.5	0.907562616725	1.0	0.224489795918
the-library-pittsburgh	158	15	173	3.46242774566	0.595375722543	0.196531791908	2	1.01005713522	2.46242774566	0.306358381503	161.260115607	126.837324579	0.155812740686	0.375	0.0268180016848	0.0268180016848	0.0405659449402	0.118644067797	0.133012584089	1.0	0.0541376321072	0.197580645161	0.0268545656696	0.09375	0.0948247868583	0.333333333333	0.905175213142	1.0	0.0867052023121
eden-pittsburgh	128	14	142	4.27464788732	0.830985915493	0.0774647887324	2	0.796865701249	3.27464788732	0.577464788732	163.267605634	154.507482634	0.170854860733	0.375	0.0274776169109	0.0274776169109	0.0464084473882	0.12962962963	0.196051744217	1.0	0.0595029850591	0.152777777778	0.0302500742888	0.09375	0.0965714373852	0.25	0.903428562615	1.0	0.0985915492958
